"","Group.1","Group.2","Age","Game","Choice"
"1",18,1,"16",16,"Yes"
"2",19,1,"20",20,"Yes"
"3",20,1,"18",18,"Yes"
"4",21,1,"15",15,"Yes"
"5",22,1,"24",24,"Yes"
"6",23,1,"19",19,"Yes"
"7",24,1,"21",21,"Yes"
"8",25,1,"20",20,"Yes"
"9",26,1,"27",27,"Yes"
"10",27,1,"9",9,"Yes"
"11",28,1,"15",15,"Yes"
"12",29,1,"15",15,"Yes"
"13",30,1,"25",25,"Yes"
"14",31,1,"18",18,"Yes"
"15",32,1,"18",18,"Yes"
"16",33,1,"12",12,"Yes"
"17",34,1,"12",12,"Yes"
"18",35,1,"18",18,"Yes"
"19",36,1,"13",13,"Yes"
"20",37,1,"13",13,"Yes"
"21",38,1,"15",15,"Yes"
"22",39,1,"10",10,"Yes"
"23",40,1,"16",16,"Yes"
"24",41,1,"7",7,"Yes"
"25",42,1,"14",14,"Yes"
"26",43,1,"14",14,"Yes"
"27",44,1,"20",20,"Yes"
"28",45,1,"18",18,"Yes"
"29",46,1,"11",11,"Yes"
"30",47,1,"16",16,"Yes"
"31",48,1,"16",16,"Yes"
"32",49,1,"18",18,"Yes"
"33",50,1,"22",22,"Yes"
"34",51,1,"12",12,"Yes"
"35",52,1,"16",16,"Yes"
"36",53,1,"18",18,"Yes"
"37",54,1,"11",11,"Yes"
"38",55,1,"20",20,"Yes"
"39",56,1,"21",21,"Yes"
"40",57,1,"18",18,"Yes"
"41",58,1,"11",11,"Yes"
"42",59,1,"15",15,"Yes"
"43",60,1,"23",23,"Yes"
"44",61,1,"20",20,"Yes"
"45",62,1,"14",14,"Yes"
"46",63,1,"11",11,"Yes"
"47",64,1,"14",14,"Yes"
"48",65,1,"15",15,"Yes"
"49",66,1,"18",18,"Yes"
"50",67,1,"15",15,"Yes"
"51",68,1,"11",11,"Yes"
"52",69,1,"5",5,"Yes"
"53",70,1,"10",10,"Yes"
"54",71,1,"5",5,"Yes"
"55",72,1,"13",13,"Yes"
"56",73,1,"5",5,"Yes"
"57",74,1,"8",8,"Yes"
"58",75,1,"2",2,"Yes"
"59",76,1,"3",3,"Yes"
"60",77,1,"6",6,"Yes"
"61",78,1,"3",3,"Yes"
"62",79,1,"1",1,"Yes"
"63",80,1,"4",4,"Yes"
"64",81,1,"3",3,"Yes"
"65",82,1,"3",3,"Yes"
"66",83,1,"4",4,"Yes"
"67",85,1,"2",2,"Yes"
"68",87,1,"1",1,"Yes"
"69",90,1,"1",1,"Yes"
"70",98,1,"5",5,"Yes"
"71",99,1,"13",13,"Yes"
"72",18,2,"7",7,"No"
"73",19,2,"7",7,"No"
"74",20,2,"11",11,"No"
"75",21,2,"7",7,"No"
"76",22,2,"9",9,"No"
"77",23,2,"7",7,"No"
"78",24,2,"13",13,"No"
"79",25,2,"9",9,"No"
"80",26,2,"13",13,"No"
"81",27,2,"6",6,"No"
"82",28,2,"11",11,"No"
"83",29,2,"6",6,"No"
"84",30,2,"12",12,"No"
"85",31,2,"8",8,"No"
"86",32,2,"14",14,"No"
"87",33,2,"11",11,"No"
"88",34,2,"13",13,"No"
"89",35,2,"13",13,"No"
"90",36,2,"10",10,"No"
"91",37,2,"8",8,"No"
"92",38,2,"7",7,"No"
"93",39,2,"8",8,"No"
"94",40,2,"9",9,"No"
"95",41,2,"9",9,"No"
"96",42,2,"7",7,"No"
"97",43,2,"10",10,"No"
"98",44,2,"14",14,"No"
"99",45,2,"22",22,"No"
"100",46,2,"7",7,"No"
"101",47,2,"16",16,"No"
"102",48,2,"10",10,"No"
"103",49,2,"14",14,"No"
"104",50,2,"22",22,"No"
"105",51,2,"17",17,"No"
"106",52,2,"24",24,"No"
"107",53,2,"26",26,"No"
"108",54,2,"14",14,"No"
"109",55,2,"23",23,"No"
"110",56,2,"22",22,"No"
"111",57,2,"26",26,"No"
"112",58,2,"17",17,"No"
"113",59,2,"14",14,"No"
"114",60,2,"39",39,"No"
"115",61,2,"25",25,"No"
"116",62,2,"28",28,"No"
"117",63,2,"24",24,"No"
"118",64,2,"24",24,"No"
"119",65,2,"28",28,"No"
"120",66,2,"26",26,"No"
"121",67,2,"25",25,"No"
"122",68,2,"25",25,"No"
"123",69,2,"13",13,"No"
"124",70,2,"28",28,"No"
"125",71,2,"12",12,"No"
"126",72,2,"34",34,"No"
"127",73,2,"20",20,"No"
"128",74,2,"10",10,"No"
"129",75,2,"15",15,"No"
"130",76,2,"12",12,"No"
"131",77,2,"7",7,"No"
"132",78,2,"8",8,"No"
"133",79,2,"13",13,"No"
"134",80,2,"22",22,"No"
"135",81,2,"11",11,"No"
"136",82,2,"7",7,"No"
"137",83,2,"12",12,"No"
"138",84,2,"6",6,"No"
"139",85,2,"9",9,"No"
"140",86,2,"9",9,"No"
"141",87,2,"4",4,"No"
"142",88,2,"5",5,"No"
"143",89,2,"2",2,"No"
"144",90,2,"3",3,"No"
"145",91,2,"1",1,"No"
"146",92,2,"1",1,"No"
"147",93,2,"2",2,"No"
"148",96,2,"1",1,"No"
"149",97,2,"1",1,"No"
"150",98,2,"1",1,"No"
"151",99,2,"25",25,"No"
